Gènere,Edat,Compra,Rank_1,Rank_2,Rank_3,Rank_4,Rank_5,Rank_6,Rank_7,Rank_8,Rank_9,Rank_10
Home,1,Online,SU222S0SG-K11@21,PO222O05F-C11@7,GP022Q01V-G11@10,YO122O0G2-A11@10,ZK121J01D-A11@8.1,PI922SA08-K12@12.1,ON321J0HR-J11@4,SO222O0NQ-K11@11,SU221J0TJ-K11@8,WO322S00J-J11@4
Dona,21,Online,SO222O0OC-G11@17,WO322S00J-J11@4,NI121J08I-C11@15,SU222S0S3-Q11@15,SU222S0SG-K11@21,2NA22S08D-M11@1.1,TO222P04H-K11@10,TOB22S01Q-K11@11.1,M0M22O00C-A11@10,SO222O0NQ-K11@11
Dona,21,Físicament en botiga,S3422O06B-Q11@8,OS322O0KP-A11@15.1,NI122O0AV-K11@12,TI122O013-K12@7,PE1210001-A11@2.1,LA222S02G-K11@10,NI121J086-N11@16,MOQ21J005-Q11@10,SO222O0NQ-K11@11,UR622O02B-C11@1.2
Home,20,Físicament en botiga,TO222P04H-K11@10,LE422S00X-Q11@8,M0M22O0A3-A11@1.1,1FI22S00V-A11@10,NI122S08O-N11@8,PS722O01N-A11@8,TOB22S01Q-K11@11.1,SU222O15O-K11@16.1,NI121J08I-C11@15,1FI21J009-C11@11
Dona,20,Ambdues opcions per igual,C2342D00U-G11@8,TH342D00W-A11@10,ZK121J01D-A11@8.1,LE222S01C-M11@10,EV421J060-Q11@7,TO222P043-Q11@8,TO722O0NL-K11@10,1VJ22S01Z-Q11@8,LA222S02G-K11@10,TO722S08M-N11@10
Home,21,Físicament en botiga,TI122O013-K12@7,TO122S04L-K12@9,2NA22S09W-C12@1.1,PI922SA08-K12@12.1,DC122O052-Q11@14.2,JAL22S000-C11@7,JA222S12S-G11@8,PS722O01N-A11@8,PU121J03T-K11@10,TO722S08M-N11@10
Dona,21,Online,TH342D00W-A11@10,FA522S00M-Q11@10,TH321J004-Q11@8,LE222S01C-M11@10,ZK121J01D-A11@8.1,H0421J011-K11@8,NI122S08O-N11@8,OD142G00W-K11@10,SU222O15O-K11@16.1,PU142G05Q-M11@10.1
Dona,22,Físicament en botiga,OS322O0KP-A11@15.1,JAL22S000-C11@7,2NA22S09W-C12@1.1,NA621J020-C11@10,SW822O003-K11@8,NI122O0AV-K11@12,M0M22O0B5-Q11@7,UR622O02B-G11@1.1,ON321J0HR-J11@4,TO721J069-A11@10.1
Dona,21,Físicament en botiga,EV421J060-Q11@7,TO222P043-Q11@8,LE222O03E-A11@8,NI122O0D4-C11@1.1,OD142G00W-K11@10,M0M22O0A3-A11@1.1,SO222O0NQ-K11@11,1VJ22S01Z-Q11@8,2NA22S08D-M11@1.1,2NA21J0K0-M11@1.2
Dona,21,Físicament en botiga,TOB22S01Q-K11@11.1,NI122O0AV-K11@12,TO222P04G-K11@10,LE222O03E-A11@8,P6822O06D-C11@10.1,TO222P04H-K11@10,ZK121J01D-A11@8.1,JU621J00H-Q11@8,2NA21J0LP-K11@1.1,QS121J048-C11@19
Dona,28,Ambdues opcions per igual,WEB21J001-O11@4,SU222S0SG-K11@21,QS122S02Q-C11@11,SO222S08C-Q11@6.1,1FI21J009-C11@11,GS122O0G0-Q11@12.1,UR622O02B-G11@1.1,1FI22S00V-A11@10,LE222O03E-A11@8,OS322O0KP-A11@15.1
Dona,21,Físicament en botiga,PO221I04D-K11@8,P6822O06D-C11@10.1,NA622S02J-C11@18.1,TOB22S01Q-K11@11.1,JA222S12S-G11@8,SU222S0OJ-G11@18.1,TH321J004-Q11@8,H0421J011-K11@8,SU221J0TJ-K11@8,NI122O0AV-K11@12
Home,21,Físicament en botiga,PO222O05F-C11@7,TH342D00W-A11@10,PU142D0NM-Q11@10,FA522S00M-Q11@10,TO122S04L-K12@9,C1822S032-G11@13.2,GS122O0G0-Q11@12.1,QS121J048-C11@19,PU121J03T-K11@10,2NA21J0K0-M11@1.2
Home,23,Físicament en botiga,SU222S0SG-K11@21,C1822S032-G11@13.2,TI122O013-K12@7,PO222O05F-C11@7,QS121J048-C11@19,UM422O00H-A11@13.1,4BE22O03S-C11@10,NI121J086-N11@16,ZK121J01D-A11@8.1,2NA21J0LP-K11@1.1
Home,19,Ambdues opcions per igual,FA522S00M-Q11@10,TO222P043-Q11@8,PI922SA08-K12@12.1,JAL22S000-C11@7,TOB22S01Q-K11@11.1,UR622O02B-C11@1.2,LY222S01H-K11@8,GS122S06V-N11@10,NI121J086-N11@16,SO222O0OS-C11@20
Dona,21,Físicament en botiga,SU222S0OJ-G11@18.1,2NA22S0A0-C11@1.1,NI122S08O-N11@8,TO222P04H-K11@10,H0421J011-K11@8,2NA21J0M4-M12@1.1,SO222S08C-Q11@6.1,NI122O0D4-C11@1.1,SU222S0S3-Q11@15,ZK121J01D-A11@8.1
Dona,22,Físicament en botiga,NE222O00T-A11@8,NI121J088-M11@10,PO222O05F-C11@7,S3422O06B-Q11@8,M0M22O0B5-Q11@7,PE1210001-A11@2.1,PS722O01N-A11@8,NA622S02J-C11@18.1,ZK121J01D-A11@8.1,2NA21J0K0-M11@1.2
